Participant Legal Business Name,ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,ACO Public Contact Name,ACO Public Contact Email,ACO Public Contact Phone
Steven Jimenez,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Jayant C. Gajera, M.D., P.A.",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"JARAMILLO MD,JORGE I",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"San Dimas Family Clinic, Inc.",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"BARDENHEIER MD,JEAN W",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
TALBERT MEDICAL GROUP INC,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Beverly Community Hospital Association,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Foothill Family Practice Medical Group,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Barry S. Neidorf, MD, Inc.",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Arthur F Gelb Medical Corporation,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Michael Burton A Medical Grp,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Magan Medical Clinic,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Walter Spears,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"SHAH MD,INDRAVADA S",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Chopra MD, Raman K",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"OH MD,PAUL Y",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"ABBOY MD,RAMADAS",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Kin C Wong A Prof Corp,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Scott E Nelson A Medical Corporation,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"HETHUMUNI MD,GAMINI D",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"David Campisi, MD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"CU MD,JOHNY A",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Edward Betz, MD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Quinones MD, Lisandro",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Huey C Lin,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Jay B. Madhure, MD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Marta Blesa A Professional Corporation,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Sudha Govindarajan,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Ramos Medical Associates,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Krekor A Tomassian A Prof Corp,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"PARTAMIAN MD,JEAN O",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"CABASSO MD,PHILLIP J",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Rafik R Girgis,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"PEAN MD,MARIE-THERESE",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Emmet Berg and Holvey Medical Group,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Jesus R. Muro, MD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Barbara Lebron , MD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Irene B. Faust, MD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Rosanna Iskander,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"LOPEZ MD,JORGE",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
VICTORIA MEDICAL CLINIC,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
EL SEGUNDO FAMILY MEDICAL GROUP,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Crispina A. Chen, MD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Emmanuel Mojtahedian,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Owen L Robinson A Medical Corporation,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"WASEF MD,RASHAD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"San Mateo Medical Clinic, Inc.",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Healthcare Partners Affiliates Medical Group,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Palos Verdes Family Immediate Medical Care Group,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"PLANCEY MD,ROBERT M",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Access Medical Care A Professional Medical Corporation,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Gregory C Yu,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
VIA VERDE MEDICAL GROUP INC,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Frankie Cotton, DO",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Kalyani Randeria,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"LACY MD,ALICE C",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"KIM MD,GARY",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Alexander D Linna, MD FAAP",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"CHIU MD,PETER",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Ruth A Hamad Apc,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Herrera And Obeso Medical Group,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Zhiwen Lu,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"Alexander Cheng, MD",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Aiyegbusi and Braimah Medical Corp,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Lara Medical Corporation,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
Ibrahim Hanna,HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"NASSIF MD,TAREK R",HCP ACO CA LLC,"19191 S. Vermont Avenue, s-200, Torrance, California 90502","California, Florida, Nevada",,Tom Paulsen,tpaulsen@healthcarepartners.com,(310) 354-6252,Robert Klein,rklein@healthcarepartners.com,(310) 630-4126
"The Providence Community Health Centers, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Family Care Health Centers, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Banyan Community Health Center, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Foundcare, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Northeast Florida Health Services, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Jessie Trice Community Health Center, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Community Health of South Florida, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Borinquen Health Care Center, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Community Health Centers, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Florida Community Health Centers, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Family Health Centers of Southwest Florida, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Rural Health Care, Incorporated","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Miami Beach Community Health Center, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Citrus Health Network, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Premier Community Health Care Group, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Community Health Centers of Pinellas, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Tampa Family Health Centers, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Community AIDS Resource, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Health Care Center for the Homeless, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Broward Community Family Health Centers, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Camillus Health Concern, Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"Primary Care of the Treasure Coast , Inc.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
"GENESIS COMMUNITY HEALTH, INC.","Health Choice Care, LLC","9064 NW 13 Terrace, Miami, Florida 33172","Florida, Missouri, Rhode Island",,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002,Kevin Kearns,kkearns@hcnetwork.org,(305) 599-1015 x18002
Internal Medicine Associates of Northern Virginia,"Health Connect ACO,LLC","12011 Lee Jackson Highway, Suite 504, Fairfax, Virginia 22033",Virginia,,Lauri Rustand,lrustand@ffpcs.com,(703) 391-2030 x1101,Sharon Fay,sharon.fay@hc-ipa.com,(703) 391-2042
"Woodburn Internal Medicine Associates, Ltd.","Health Connect ACO,LLC","12011 Lee Jackson Highway, Suite 504, Fairfax, Virginia 22033",Virginia,,Lauri Rustand,lrustand@ffpcs.com,(703) 391-2030 x1101,Sharon Fay,sharon.fay@hc-ipa.com,(703) 391-2042
"Mount Vernon Internal Medicine, P.C.","Health Connect ACO,LLC","12011 Lee Jackson Highway, Suite 504, Fairfax, Virginia 22033",Virginia,,Lauri Rustand,lrustand@ffpcs.com,(703) 391-2030 x1101,Sharon Fay,sharon.fay@hc-ipa.com,(703) 391-2042
"General Internal Medicine Group, P.C.","Health Connect ACO,LLC","12011 Lee Jackson Highway, Suite 504, Fairfax, Virginia 22033",Virginia,,Lauri Rustand,lrustand@ffpcs.com,(703) 391-2030 x1101,Sharon Fay,sharon.fay@hc-ipa.com,(703) 391-2042
"Family Medicine of Clifton/Centreville, P.C.","Health Connect ACO,LLC","12011 Lee Jackson Highway, Suite 504, Fairfax, Virginia 22033",Virginia,,Lauri Rustand,lrustand@ffpcs.com,(703) 391-2030 x1101,Sharon Fay,sharon.fay@hc-ipa.com,(703) 391-2042
"Fairfax Family Practice Centers, P.C.","Health Connect ACO,LLC","12011 Lee Jackson Highway, Suite 504, Fairfax, Virginia 22033",Virginia,,Lauri Rustand,lrustand@ffpcs.com,(703) 391-2030 x1101,Sharon Fay,sharon.fay@hc-ipa.com,(703) 391-2042
Providence Health & Services - Washington,"Health Connect Partners, LLC","747 Broadway, Seattle, Washington 98122",Washington,,Joseph Gifford,Joseph.Gifford@providence.org,(206) 628-2569,Melissa Tizon,Melissa.Tizon@swedish.org,(206) 628-2538
Ballinger Clinic,"Health Connect Partners, LLC","747 Broadway, Seattle, Washington 98122",Washington,,Joseph Gifford,Joseph.Gifford@providence.org,(206) 628-2569,Melissa Tizon,Melissa.Tizon@swedish.org,(206) 628-2538
Swedish First Hill Diagnostic Imaging,"Health Connect Partners, LLC","747 Broadway, Seattle, Washington 98122",Washington,,Joseph Gifford,Joseph.Gifford@providence.org,(206) 628-2569,Melissa Tizon,Melissa.Tizon@swedish.org,(206) 628-2538
Swedish Edmonds,"Health Connect Partners, LLC","747 Broadway, Seattle, Washington 98122",Washington,,Joseph Gifford,Joseph.Gifford@providence.org,(206) 628-2569,Melissa Tizon,Melissa.Tizon@swedish.org,(206) 628-2538
Providence Health Serviceswa,"Health Connect Partners, LLC","747 Broadway, Seattle, Washington 98122",Washington,,Joseph Gifford,Joseph.Gifford@providence.org,(206) 628-2569,Melissa Tizon,Melissa.Tizon@swedish.org,(206) 628-2538
Providence Health Services Wa,"Health Connect Partners, LLC","747 Broadway, Seattle, Washington 98122",Washington,,Joseph Gifford,Joseph.Gifford@providence.org,(206) 628-2569,Melissa Tizon,Melissa.Tizon@swedish.org,(206) 628-2538
Providence Health & Services - Washington,"Health Connect Partners, LLC","747 Broadway, Seattle, Washington 98122",Washington,,Joseph Gifford,Joseph.Gifford@providence.org,(206) 628-2569,Melissa Tizon,Melissa.Tizon@swedish.org,(206) 628-2538
