ACO Doing Business As (DBA) or Legal Business Name (LBN),States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model , Total Assigned Beneficiaries ,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Minus Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,Quality Score6,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Composite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Composite,ACO-32,ACO-33
"FamilyHealth ACO, LLC","New York,  Connecticut",01/01/2014,Track1,No,3618,$32299760,$31949885,$349875,1.08%,,-,Yes,P4R,76.72,91.98,91.86,83.99,62.35,74.64,76.22,15.2,1.57,1.53,,74.73,19.92,65.14,50.1,77.95,95.29,74.6,59.31,54.63,68.85,25.95,66.41,52.67,71.76,84.73,90.91,22.14,69.68,49.01,88.08,100,60.66,63.93,88.16
"First Coast Health Alliance, LLC",Florida,01/01/2014,Track1,No,10541,$112483006,$116448336,$-3965330,-3.53%,,-,Yes,P4R,78.56,91.4,90.78,85.22,59.66,75.98,73.45,14.81,1.26,1.47,65.52,70.87,50.81,55.03,57.68,78.66,96.16,52.59,67.88,71.98,62.2,35.42,71.46,64.89,76.39,91.79,85.39,16.43,73.46,63.62,89.96,92.13,73.96,78.43,83.9
"Florida Medical Clinic ACO, LLC",Florida,07/01/2012,Track1,No,12478,$119226937,$120633075,$-1406139,-1.18%,,-,Yes,90.16%,77.59,91.46,91.43,86.84,58.8,75.06,71.42,14.99,0.85,1.26,94.64,69.29,58.54,69.36,58.01,86.2,97.83,56.2,65.62,70.07,51.05,34.55,82.73,69.1,66.91,88.08,86.14,8.74,64.32,62.8,86.49,88.89,78.59,88.1,73.66
"Florida Physicians Trust, LLC",Florida,04/01/2012,Track1,No,8638,$96690440,$90236181,$6454259,6.68%,$6454259,"$2,702,318 ",Yes,85.45%,75.77,92.5,91.19,83.18,59.49,75.92,71.1,14.88,1.05,1.15,75,86.94,16.69,47.33,40.49,86.04,92.96,24.45,52.38,62.89,85.93,27.56,67.23,57.14,74.29,85.38,59.45,23.19,75.43,63.62,84.1,77.5,77.27,84.94,79.18
"Foothill Accountable Care Medical Group, Inc.",California,01/01/2014,Track1,No,7438,$107438113,$105005437,$2432676,2.26%,,-,Yes,P4R,78.91,89.95,90.2,82.36,54.11,74.98,69.81,14.83,0.59,0.85,35.8,97.98,58.66,44.31,26.64,80.12,58.78,49.08,22.83,44.14,89.89,8.06,52.13,36.26,65.17,39.1,48.6,39.34,65.01,43.4,44.55,60,43.68,61.45,43.58
"Fort Smith Physicians Alliance ACO, LLC","Arkansas,  Oklahoma",01/01/2013,Track1,Yes,9672,$98830586,$96985637,$1844950,1.87%,,-,Yes,80.77%,80.42,93.64,93.09,82.64,51.91,72.91,69.08,15.57,1.15,0.9,71.43,86.69,23.3,41.7,37.36,62.83,91.3,53.18,32.57,39.38,70.18,13.57,65.38,44.12,59.73,68.78,64.16,22.45,57.28,41.59,81.35,66.67,62.67,79.12,60.99
"FPG Healthcare, LLC",Florida,07/01/2012,Track1,No,3857,$35892477,$34256345,$1636131,4.56%,$1636131,"$663,464 ",Yes,82.76%,72.72,88.38,86.87,82.77,59.58,71.78,72.55,15.72,1.77,1.43,94,98.39,60.7,53.23,57.75,87.75,97.59,39.91,73.15,75.94,84.56,27.25,72.29,66.05,66.74,76.91,92.13,14.55,72.83,66.43,83.22,80,81.52,86.51,87.08
"Franciscan AHN ACO, LLC",Indiana,07/01/2012,Track1,No,31390,$268108177,$276429394,$-8321218,-3.1%,,-,Yes,86.18%,79.84,92.49,92.99,85.48,56.85,71.81,70.16,13.86,1.05,1.04,93.27,83.81,47.61,62.73,67.49,54.86,76.48,46.31,77.32,70.47,59.29,29.49,77.59,66.06,73.15,72.49,52.35,13.34,69.34,63.14,73.93,28.05,58.9,73.39,55.79
"Franciscan Select Health Network ACO, LLC","Michigan,  Indiana",01/01/2014,Track1,No,15123,$136206141,$139050895,$-2844754,-2.09%,,-,Yes,P4R,81.88,92.23,91.5,78.49,51.21,73.72,67.82,13.56,0.98,1.14,75.32,95.81,23.95,62.35,55.95,43.24,87.31,13.04,51.32,59.57,53.09,25.04,74.62,59.97,66.44,74.45,78.34,15.5,64.01,62.64,89.01,77.78,63.79,80.9,55.56
Franciscan Union ACO,"Illinois,  Indiana",01/01/2013,Track1,No,14790,$138346793,$143004320,$-4657528,-3.37%,,-,Yes,85.61%,83.04,92.86,92.75,87.42,51.09,72.97,72.92,15.36,1.15,0.95,78.57,99.7,42.62,62.44,62.77,49.34,98.01,41,57.68,65.3,99.67,28.97,72.52,55.3,69.04,96.19,89.6,16.56,67.7,47.8,88.51,95,62.3,67.38,80
"Genesis Accountable Care Organization, LLC","Iowa,  Illinois",07/01/2012,Track1,No,18254,$140868655,$151285060,$-10416406,-7.39%,,-,Yes,82.34%,83.08,93.24,92.86,86.88,52.75,72.95,72.6,14.54,0.86,1.3,72.73,98.65,14.14,67,68.3,86.61,94.12,21.21,64.05,72.37,85.87,36.76,79.25,64.71,82.03,86.44,80.32,11.44,78.35,63.18,89.19,90.72,79.7,87.27,80.43
"Genesis Accountable Physician Network, LLC",Texas,01/01/2014,Track1,No,18190,$195319858,$184399325,$10920532,5.59%,$10920532,"$5,351,061 ",Yes,P4R,82.11,92.5,92.05,82.45,60.44,74.22,72.05,15.47,0.89,1.11,74.24,21.56,37.44,54.7,48.76,57.78,63.88,30.1,56.02,57.1,37.5,16.67,68.73,50.17,70.45,54.12,86.83,23.02,68.34,54.05,90.32,90.45,65.32,68.68,83
"Georgia Physicians for Accountable Care, LLC",Georgia,01/01/2014,Track1,No,37513,$329477814,$330055775,$-577961,-0.18%,,-,Yes,P4R,84.37,95.6,94,84.58,54.85,75.11,69.31,15.14,1.36,1.26,84.92,88.49,41.1,62.48,44.87,75.78,85.39,45.34,50,63.29,70.49,21.79,73.17,50,65.6,75.23,78.48,15.79,68.51,55.94,87.09,90.71,69.47,73.11,87.31
"GGC ACO, LLC",Michigan,01/01/2014,Track1,No,5577,$57982782,$53802850,$4179933,7.21%,$4179933,"$2,048,167 ",Yes,P4R,81.96,93.26,93.4,89.1,57.73,72.82,69.96,15.69,0.53,1.13,84.21,85.51,18.83,71.17,44.44,70.83,96.02,17.28,82.11,87.21,46.02,31.57,74.95,59.88,79.02,86.76,78.57,14.66,77.85,65.52,81.61,83.67,77.45,84.95,80.27
Golden Life Accountable Care Organization (ACO),California,07/01/2012,Track1,Yes,7571,$86414023,$89067286,$-2653262,-3.07%,,-,Yes,82.71%,77.3,88.42,87.05,80.53,52.02,67.62,69.81,15.93,0.73,0.86,65.38,98.79,54.08,72.42,59.65,91.81,97.59,54.04,58.6,60.62,98.67,15.29,68.91,56.13,60.17,63.87,86.19,20.74,62.26,54.87,80.52,94.5,82.37,90.63,83.59
Good Help ACO,"South Carolina,  Kentucky,  Virginia,  Ohio,  New York,  Pennsylvania",01/01/2013,Track1,No,68429,$603103151,$615829521,$-12726370,-2.11%,,-,Yes,91.50%,76.31,93.07,91.42,83.31,60.5,76.73,70.38,14.2,0.76,1.07,89.09,90.47,67.65,61.91,72.25,60.53,95.74,56.84,58.25,71,47.79,31.16,72.86,62.65,67.84,88.61,84.47,16.31,64.31,63.57,90.18,86.15,71.55,77.76,82.02
Greater Baltimore Health Alliance,"Maryland,  Pennsylvania",07/01/2012,Track1,No,11810,$137411046,$133598551,$3812495,2.77%,,-,Yes,88.76%,84.29,94.06,92.73,83.08,61.76,74.35,73.17,14.71,0.92,1.38,77.27,82.24,54.98,65.32,55.15,53.72,90.08,53.08,55.32,65.67,51.36,23.73,63.22,57.29,72.71,78.64,91.72,13.87,74.65,57.63,86.95,82.05,80.37,88.21,77.1
Gulf Coast Health Partners,"Alabama,  Florida,  Mississippi",01/01/2014,Track1,No,22871,$201775822,$203250816,$-1474993,-0.73%,,-,Yes,P4R,75.53,92.84,91.98,84.47,58.7,73.18,70.07,15.14,0.84,1.07,91.67,68.33,58.13,56.65,43.51,67.22,89.82,9.15,39.17,51.66,38.24,20.3,62.9,55.74,71.05,66.56,80,24.71,72.87,57.06,78.44,93,69.15,74.16,85.04
Hackensack Alliance ACO,"New Jersey,  New York",04/01/2012,Track1,No,15603,$198546103,$192081207,$6464895,3.26%,$6464895,"$2,832,988 ",Yes,89.43%,76.73,92.37,90.97,87.11,60.24,71.28,69.22,16.43,1.03,1.19,77.63,93.54,70.35,79.78,72.95,92.05,97.7,66.85,73.84,76.38,94.83,38.91,79.47,67.55,76.32,91.72,97.73,9.6,82.01,66.9,93.49,96.86,78.2,80.32,88.59
"Harbor Medical Associates, PC",Massachusetts,07/01/2012,Track1,Yes,9329,$83737556,$86657324,$-2919768,-3.49%,,-,Yes,92.03%,79.06,91.49,91.2,82.59,63.13,77.58,76.64,14.41,1.18,1.1,100,59.23,87.23,58.21,74.46,79.85,96.88,81.71,77.27,78.1,78.59,40.53,76.74,70.02,85.37,88.25,96.3,11.75,78.5,68.84,84.78,73.47,82,85.54,84.07
"HARTFORD HEALTHCARE ACCOUNTABLE CARE ORGANIZATION, INC.",Connecticut,01/01/2013,Track1,No,21207,$230768685,$225187792,$5580893,2.42%,,-,Yes,90.02%,86.74,93.31,93.17,82.49,59.36,76.04,72.82,14.63,0.68,1.21,87.5,74.95,37.71,62.91,65.17,59.29,91.76,26.84,58.44,69.78,32.16,32.27,77.31,57.31,74.79,85.04,83.67,15.97,71.66,60.09,80.04,73.73,64.08,74.28,68.16
HCP ACO CA LLC,"Nevada,  Florida,  California",01/01/2014,Track1,No,57993,$545276590,$549458260,$-4181670,-0.77%,,-,Yes,P4R,72.93,89.34,88.5,79.41,55.15,72.42,71.36,15.16,1.09,1.19,63.83,50.88,25.54,35.97,31,71.32,78.4,11.2,50.09,59.04,55.05,21.21,63.83,56.63,67.61,71.4,73.68,27.55,64.67,60.54,79.37,96.7,58.75,68.09,69.64
"Health Choice Care, LLC","Florida,  Rhode Island,  Missouri",01/01/2014,Track1,No,17437,$166987849,$161767054,$5220796,3.13%,$5220796,"$2,558,190 ",Yes,P4R,78.15,92.77,91.96,85.57,60.78,74.53,72.46,14.76,1.32,1.63,100,93.58,35.56,44.39,41.75,71.45,87.64,29.45,45.01,57.26,56.51,20.91,67.46,56.03,69.4,77.59,72,21.51,65.06,63.28,79.48,91.96,76.99,83.81,82.98
"Health Connect ACO,LLC",Virginia,01/01/2014,Track1,No,13874,$119691108,$118083562,$1607547,1.34%,,-,Yes,P4R,81.09,92.23,91.36,85.43,55.77,75.06,73.45,15.88,1.34,1.5,89.68,0,0.36,42.15,7.49,18.39,100,17.19,0.89,0,4.24,33.03,70.64,53.21,74.31,100,,23.85,64.15,0,2,,67.74,67.74,
"Health Connect Partners, LLC",Washington,01/01/2014,Track1,No,29482,$263601071,$269034782,$-5433711,-2.06%,,-,Yes,P4R,81.79,92.46,90.47,86.23,53.12,74.67,69.66,14.42,0.53,1.02,84.83,34.34,23.79,60.98,71.18,46.99,93.3,12.82,54.81,63.83,50.24,31.63,77.37,56.45,76.16,93.43,89.8,15.33,66.07,51.58,93.67,90.68,58.15,64.68,70.32
"Health Point ACO, LLC",Florida,01/01/2014,Track1,No,7621,$86247129,$91168940,$-4921810,-5.71%,,-,Yes,P4R,74.16,90.69,90.2,84.23,57.58,74.61,72.03,15.21,1.4,1.31,73.91,,,,,,,,60.71,73.53,,34.63,75.61,65.85,75.61,84.39,80.28,15.12,70,87.1,74.19,100,80,97.78,63.64
"Healthcare Provider ACO, Inc.",New York,07/01/2012,Track1,No,27791,$414704079,$404975183,$9728896,2.35%,,-,Yes,70.30%,82.06,93.06,91.24,81.41,59.25,77.66,66.01,18.06,1.4,0.95,38.98,50,10.28,33.18,14.6,39.95,62.16,4.11,29.66,29.03,32.88,12.05,57.83,48.19,67.95,56.63,70.34,31.33,63.59,47.96,71.77,65.38,49.23,58.3,66.67
HHC ACO Inc,New York,01/01/2013,Track1,No,13294,$117275057,$110153040,$7122016,6.07%,$7122016,"$2,644,605 ",Yes,75.78%,63.46,89.22,90.16,76.73,64.82,70.92,71.13,15.64,2.41,1.86,16.42,95.73,45.96,76.87,79.84,64.22,87.32,88.87,70.96,76.14,78.46,27.81,69.21,65.89,69.87,80.79,90.28,16.39,63.71,70.68,93.46,89.62,86.59,90.71,91.62
"HNMC Hospital/Physician ACO, LLC",New Jersey,01/01/2013,Track1,No,8709,$105545918,$107288581,$-1742663,-1.65%,,-,Yes,79.49%,75.7,91.25,89.75,88.76,56.19,73.81,71.23,15.72,1.61,1.41,53.85,87.12,29.14,44.59,30.89,52.62,64.68,20.68,46.69,38.56,65.78,22.31,69.67,53.23,72.99,68.3,64.46,20.94,72.03,59.49,84.42,82.35,69.29,75.38,81.38
"Huntington Care Network ACO, LLC",California,01/01/2014,Track1,No,8200,$84560857,$91709492,$-7148635,-8.45%,,-,Yes,P4R,80.16,94.66,93.28,86.45,61.21,75.73,72.39,14.98,0.59,0.77,91.67,48.26,36.9,56.48,63.27,54.53,62.29,27.62,51.36,69.61,33.49,8.38,59.89,43.49,63.64,38.32,55.46,33.87,69.84,44.6,64.83,83.02,42.46,49.8,68.87
"Illinois Health Partners ACO, LLC",Illinois,01/01/2014,Track1,No,50069,$437511266,$442845470,$-5334203,-1.22%,,-,Yes,P4R,85.4,93.3,93.3,85.93,57.44,73.29,75.59,14.5,1,1.25,96.34,39.25,77.99,51.93,57.64,67.82,99.02,69.66,66.45,73.09,33.74,34.75,81.25,69.75,68.5,91.25,85.45,9.47,71.1,64.96,91.48,85.64,75.36,79.01,85.86
Independent Physicians' ACO of Chicago LLC,Illinois,01/01/2013,Track1,No,17612,$255193552,$260843269,$-5649717,-2.21%,,-,Yes,91.16%,85.24,94.48,93.1,82.6,57.24,76.23,72.12,16.68,1.68,1.27,76.27,99.19,83.08,79.28,62.12,92.03,96.5,77.55,57.32,56.73,91.1,31.63,73.97,57.91,79.81,83.45,94.69,15.91,78.03,64.75,91.5,94.07,77.91,81.09,88.36
Independent San Diego ACO,California,01/01/2013,Track1,No,5592,$118252619,$109575497,$8677122,7.34%,$8677122,-,No,0.00%,,,,,,,,16.36,0.81,0.82,21.43,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Care Organization LLC,Indiana,01/01/2013,Track1,No,9623,$86308242,$83241971,$3066271,3.55%,$3066271,"$1,294,374 ",Yes,86.15%,79.42,94.63,94.86,84.59,54.54,74.6,70.44,13.67,1.05,0.64,92,37.5,40,55.34,49.5,63.77,94.1,57.45,66.33,30.25,82.9,35.08,76.61,65.76,71.69,86.61,100,9.34,68.53,61.22,84.18,90,66.94,73.37,76.38
Indiana Lakes ACO,"Indiana,  Michigan",01/01/2013,Track1,No,8037,$63237033,$69329405,$-6092371,-9.63%,,-,Yes,92.73%,83.46,93.27,92.09,83.67,57.94,77.01,72.16,14.91,1.13,1.04,90.7,94.46,63.07,84.88,85,84.24,96.67,61.9,77.8,67.39,79.7,19.31,76.55,54.66,73.62,62.07,80.53,13.73,70.31,60.84,92.32,94.64,75.91,82.2,80.22
"Indiana University Health ACO, Inc.",Indiana,07/01/2012,Track1,No,41179,$415836881,$418788897,$-2952016,-0.71%,,-,Yes,84.14%,78.44,92.69,92.58,87.67,55.88,72.3,70.65,15.25,1.5,1.11,89.55,60.35,48.06,66.99,79.38,44.47,91.04,12.11,57.77,66.35,45.74,31.23,75.06,64.41,73.61,83.54,90.21,14.53,71.36,66.67,90.75,88.97,65.94,71.81,78.81
"Ingalls Care Network, LLC","Illinois,  Indiana",01/01/2014,Track1,No,5568,$70007762,$63455553,$6552209,9.36%,$6552209,"$3,210,583 ",Yes,P4R,79.62,92.57,90.53,82.93,59.77,75.86,68.62,15.34,1.48,1.47,83.33,98.75,45.16,62.78,58.11,75.44,92.94,64.94,58.83,74.17,81.23,22.4,61.46,52.78,69.44,84.72,88.89,25.52,64.26,57.06,90.66,98.36,68.37,72.4,86.72
"Integral Healthcare, LLC",Florida,01/01/2013,Track1,No,7070,$73272387,$61976288,$11296099,15.42%,$11296099,"$4,627,606 ",Yes,83.60%,77.91,90.78,88.35,84.1,57.7,78.44,69.6,14.86,1.46,1.45,72.55,46.9,41.15,50.3,35.28,78.23,87.85,24.68,52.15,63.36,44.57,25.27,73.67,59.43,73.84,78.47,76.47,15.48,72.49,58.64,77.86,68.18,66.41,77.93,68.16
Integrated ACO LLC,Texas,01/01/2013,Track1,Yes,9827,$114229980,$104698363,$9531617,8.34%,$9531617,"$3,952,717 ",Yes,84.63%,79.64,91.45,89.78,82.77,56.21,72.95,68.5,14.28,0.87,0.78,61.76,93.35,27.82,49.41,37.15,82.61,92.33,56.95,43.89,46.99,92.35,24.25,63.3,59.23,64.81,81.33,73.98,25.54,66.75,54.89,78.28,93.24,78.59,86.67,82.68
"Integrated Care Alliance, LLC",Florida,07/01/2012,Track1,No,7086,$73122210,$73041028,$81182,0.11%,,-,Yes,86.18%,74.39,90.73,89.68,85.32,59.58,75.04,69.57,16.34,1.16,1.51,80,74.68,60.24,46.15,53.75,87.59,95.26,46.03,56.42,59.76,58.13,25.47,74.76,61.56,70.05,73.35,82.39,16.75,68.61,59.76,82.89,94.34,55.17,69.61,56.37
"Integrity Health Innovations, LLC","Wisconsin,  Minnesota",01/01/2014,Track1,No,5228,$41714099,$41080205,$633894,1.52%,,-,Yes,P4R,80.07,92.53,91.91,84.58,55.39,79.48,72.38,14.66,1.06,0.82,94,93.81,7.93,59.56,67.32,54.15,92.26,31.2,50.65,68.33,47.1,31.21,72.54,58.67,78.9,85.84,90.24,12.93,72.8,61.84,88.6,83.78,68.95,73.71,77.66
"Jackson Purchase Medical Associates, PSC","Kentucky,  Illinois",04/01/2012,Track1,Yes,4845,$43952374,$38987504,$4964871,11.3%,$4964871,"$2,178,919 ",Yes,89.56%,86.17,93.09,93.5,85.58,57.47,78.23,71.78,14.73,0.99,1.61,100,100,81.33,55.19,71.43,90.89,82.14,80.94,86.84,90.26,95.45,9.88,77.07,65.43,70.9,25.4,63.64,13.3,71.04,68.86,69.44,0,70.02,80.29,56.76
"JFK Population Health Company, LLC",New Jersey,01/01/2014,Track1,No,9531,$102637626,$103866685,$-1229059,-1.2%,,-,Yes,P4R,79.4,94.25,93.3,85.38,59.29,76.2,73.04,15.77,1.2,0.97,65.71,100,33.99,49.63,44.1,58.55,72.77,33.4,39.38,51.54,82.21,23.62,66.79,56.48,63.23,74.25,93.39,23.37,64.62,52.69,26.52,88.24,27.75,52.61,47.87
"John C. Lincoln Accountable Care Organization, LLC",Arizona,07/01/2012,Track1,No,11857,$97846898,$98314096,$-467198,-0.48%,,-,Yes,88.19%,74.71,90.65,90.14,82.09,60.82,71.26,73.23,14.45,0.67,1.15,86.42,96.12,44.68,65.43,68.3,76.47,93.8,69.67,58.93,61.5,83.21,30.79,74.01,60.6,74.17,85.6,70.24,17.38,69.26,59.89,75.44,96.43,63.54,75.47,63.33
John Muir Health Medicare ACO,California,07/01/2012,Track1,No,22479,$245867954,$237755187,$8112768,3.3%,$8112768,"$3,496,096 ",Yes,87.95%,77.46,91.55,89.5,83.35,56.84,73.89,70.14,13.83,0.57,0.94,93.71,88.99,44.57,60.87,50.25,63.61,93.16,18.56,41.09,63.54,37.78,29.23,68.03,60.85,73.5,90.94,67.1,22.56,73.58,62.95,65.11,80.37,86.54,95.51,78.28
"Johns Hopkins Medicine Alliance for Patients, LLC","Maryland,  District of Columbia",01/01/2014,Track1,No,37203,$444730516,$439310995,$5419521,1.22%,,-,Yes,P4R,79.93,92.15,91.01,84.49,58.47,71.34,73.45,15.4,1.27,1.41,94.34,95,33.66,70.04,72.86,77.9,94.79,42.31,64.11,60.41,60.51,28.13,68.53,58.48,67.86,92.41,93.13,19.87,60,58.38,87.85,97.04,75.37,76.64,93.14
"Kansas Primary Care Alliance, LLC","Missouri,  Kansas",01/01/2014,Track1,No,6593,$49872416,$49245410,$627006,1.26%,,-,Yes,P4R,84.19,94.85,95.37,83.21,67.33,79.22,71.74,15.12,0.76,1.15,94.12,91.61,27.25,78.3,80.54,66.67,98.78,39.17,81.29,82.04,44.55,31.87,77.86,67.64,68.61,89.54,95.15,10.22,63.31,70.21,87,82.35,76.76,82.51,79.65
KCMPA,"Missouri,  Kansas",01/01/2013,Track1,Yes,13419,$121966936,$127216860,$-5249924,-4.3%,,-,Yes,89.55%,81.77,93.54,92.3,85.96,60.23,76.04,69.92,14.93,0.64,1.31,100,34.06,50,81.73,76.27,50.6,57.75,27.38,56.19,63.53,28.85,13.29,77.45,59.97,73.25,52.27,64.11,13.29,74.87,69.06,82.91,53.96,86.69,91.73,68.14
"KentuckyOne Health Partners, LLC",Kentucky,01/01/2013,Track1,No,27315,$228466009,$222859049,$5606961,2.45%,$5606961,"$2,144,881 ",Yes,78.07%,78.23,93.63,93.58,82.12,53.64,72.23,69.15,15.08,0.82,1.22,75,97.74,16.42,56.22,45.3,52.82,89.26,24.19,40,49.05,71.16,20,64.33,49.33,62.17,76.67,86.19,24.67,64.86,45.27,90.19,92.34,57.98,65.4,76.95
Keystone ACO,"Pennsylvania,  New York",01/01/2013,Track1,No,7727,$60038588,$63700318,$-3661730,-6.1%,,-,Yes,87.95%,84.21,93.25,93.02,83.2,55.59,74.08,73.54,14.69,0.55,0.93,89.29,92.68,29.59,62.66,59.34,56.2,85.34,20.53,69.29,73.91,52.27,23.79,72.09,60.92,60.92,84.95,85,13.11,61.65,58.7,85.51,69.91,64.58,73.96,75.71
"Lahey Clinical Performance Accountable Care Organization, LLC","Massachusetts,  New Hampshire",01/01/2013,Track1,No,36198,$368396672,$356676862,$11719810,3.18%,$11719810,"$5,175,487 ",Yes,90.12%,79.7,92.19,90.82,86.9,59.78,72.87,74.54,16.59,1.04,1.3,88.59,85.52,65.27,63.43,74.44,67.11,95.14,61.05,69.04,76.46,23.58,30.52,79.9,65.01,72.46,79.16,84.26,7.91,69.66,67.63,87.29,87.5,74.64,84.09,73.21
"Lancaster General Health Community Care Collaborative, LLC",Pennsylvania,01/01/2014,Track1,No,19219,$167314017,$171817699,$-4503681,-2.69%,,-,Yes,P4R,83,94.48,93.1,84.76,60.48,76.06,73.12,13.2,0.99,1.23,90.6,95.04,55.23,75.49,87.09,39.38,96.24,63,73.81,75.65,35.92,38.36,76.23,68.36,78.69,90.82,92.24,12.93,77.61,68.01,86.53,90.23,76.9,90.71,65.6
"LHS Health Network, LLC","New Jersey,  Pennsylvania",01/01/2014,Track1,No,22375,$254161875,$253025554,$1136322,0.45%,,-,Yes,P4R,80.69,94.06,91.05,85.13,57.99,75.5,70.73,16.09,1.17,1.34,72.73,100,30.48,58.89,42.83,68.65,90.95,37.73,42.06,55.45,69.14,31.93,66.2,55.24,78.09,91.14,86.61,24.55,73.78,56.86,46.24,86.32,38.59,60.49,57.47
Live Oak Care,Georgia,01/01/2014,Track1,No,7494,$74149474,$76050533,$-1901059,-2.56%,,-,Yes,P4R,83.85,94.41,93.28,85.68,63.05,76.42,67.11,14.77,1.09,1.53,70.97,98.09,47.17,56.39,36.53,86.19,93.53,44.63,58.61,46.1,93.59,23.67,72.73,53.17,68.61,80.79,78.34,19.15,68.12,54.35,74.1,89.93,70.92,79.82,76.69
Loudoun Medical Group ACO LLC,"Virginia,  West Virginia",01/01/2014,Track1,No,9326,$71380905,$72027741,$-646836,-0.91%,,-,Yes,P4R,84.11,94.15,93.33,82.58,60.24,77.93,73.17,15.72,1.28,1.56,89.09,100,40.33,61.51,56.82,92.65,99.03,23.87,64.61,58.96,97.72,35.89,73.74,64.93,72.76,94.45,92.86,12.72,68.94,61.76,95.75,100,96.74,98.05,96.67
Louisiana Physicians ACO LLC,Louisiana,01/01/2014,Track1,No,6376,$92724749,$92455914,$268835,0.29%,,-,Yes,P4R,77.59,92.71,92.09,86.62,54.72,72.73,65.93,15.28,1.64,1.57,90,53.13,40.97,51.39,55.24,72.77,91.03,30.44,29.43,44.24,77.27,21.42,70.98,50.6,64.94,81.52,83.78,19.83,69.18,50.14,83.48,94.74,58.59,68.82,69.26
"Lower Shore ACO, LLC","Virginia,  Maryland,  Delaware",01/01/2013,Track1,Yes,10001,$141340226,$137995876,$3344351,2.37%,,-,Yes,83.68%,83.29,93.01,91.56,82.24,57.74,74.78,69.33,15.84,0.89,1.29,55.56,99.49,49.64,40.56,52.97,66.12,20.11,51.86,56.7,49.48,67.03,19.54,59.58,46.55,70.88,75.48,80.95,28.16,76.01,61.61,83.73,94.87,17.84,21.24,65.68
"Maine Community Accountable Care Organization, LLC",Maine,07/01/2012,Track1,No,6625,$53664047,$52237878,$1426170,2.66%,,-,Yes,91.83%,83.63,93.08,92.44,84.54,60.13,75.86,73.35,15.22,0.95,0.75,,91.67,30.87,68.96,70.97,58.42,89.18,47.6,62.98,70.75,50.2,19.87,62.25,49.01,72.19,78.81,96.83,23.84,70.14,54.02,91.38,73.08,69.4,74.32,88.79
MaineHealth Accountable Care Organization,Maine,07/01/2012,Track1,No,49413,$419217591,$420048721,$-831129,-0.2%,,-,Yes,91.23%,80.67,92.44,91.97,80.43,59.32,75.53,76.09,13.59,0.82,1.03,76.63,89.12,59.83,69.56,79.06,64.47,95.99,56.07,74.71,80.2,42.21,27.81,72.86,60.47,72.03,83.75,91.01,12.9,69.97,62.23,88.31,82.24,69.34,79.68,73.38
Marshfield Clinic,Wisconsin,01/01/2013,Track1,No,32096,$262459960,$268253870,$-5793910,-2.21%,,-,Yes,88.90%,80.68,92.8,91.94,82.5,56.7,71.87,76.02,14.85,1.26,1.13,93.06,73.04,94.4,80.26,90.44,77.57,96.88,85.16,76.06,84.36,58.06,39.17,75.43,73.48,78.83,81.75,92.43,12.09,71.1,74.45,93.67,95.12,81.02,87.66,82.86
MARYLAND ACCOUNTABLE CARE ORGANIZATION OF EASTERN SHORE LLC,"Maryland,  Delaware",07/01/2012,Track1,Yes,12735,$120879451,$135071027,$-14191575,-11.74%,,-,Yes,81.48%,82.91,94.54,92.98,84.88,57.84,73.71,73.31,14.96,1.36,1.36,91.67,77.17,48.8,38.48,39.18,74.15,23.72,52.41,45.55,60.21,62.5,16.17,55.35,40.09,71.07,74.03,69.33,33.26,67.09,55.11,63.5,93.1,7.14,9.52,56.44
MARYLAND ACCOUNTABLE CARE ORGANIZATION OF WESTERN MD LLC,"Maryland,  Pennsylvania,  West Virginia",07/01/2012,Track1,Yes,5181,$48674438,$51072728,$-2398290,-4.93%,,-,Yes,87.63%,82.16,94.49,93.17,83.2,56.04,74.33,71.49,14.5,0.9,0.8,93.33,100,68.97,48.81,51.4,88.36,10.52,71.55,67.44,64.69,83.19,29.31,75.52,56.72,75.52,88.45,82.17,15.34,71.05,68.35,83.33,85,21.02,22.65,80.8
"Maryland Collaborative Care, LLC.","District of Columbia,  Maryland",01/01/2013,Track1,No,16236,$180720442,$168853745,$11866697,6.57%,$11866697,"$4,515,463 ",Yes,77.66%,79.65,91.1,89.47,82.24,50.89,69.44,71.18,15.47,1.44,1.09,61.25,86.72,27.52,51.94,48.05,62.06,71.09,24.28,56.5,56.51,52.43,20.57,70.66,54.56,64.94,66.55,80.11,21.93,62.32,57.55,82.31,82.54,65.52,71.77,77.68
